"listing__rating-model","item","item 2","item 3","item 4","ellipsize","listing__excerpt","listing__price"
"Honda HR-V","80 - 85K KM","Automatic","Jawa Barat","Sales Agent","2018 Honda HR-V 1.5 E SUV - Special edition - Bergaransi","Honda HR-V E SE AT 2018 Kilometer : 82.268 Melayani cash/credit 𝘾𝘼𝙍𝙎𝙊𝙈𝙀 𝘾𝙚𝙧𝙩𝙞𝙛𝙞𝙚𝙙 🔥🔥🔥 - ...","Rp 209.000.000"
"Suzuki Baleno","30 - 35K KM","Automatic","Banten","Dealer","2022 Suzuki Baleno 1.4 Hatchback","SUZUKI BALENO HB 2022 HITAM. KM 34RB. PAJAK 01/2027 Cash 229 Kredit 215 Untuk mengetahui ...",""
"Mazda CX-5","80 - 85K KM","Automatic","DKI Jakarta","Dealer","2017 Mazda CX-5 2.5 Elite SUV - CX 5 Murah Dan Terpercaya","MAZDA CX5 ELITE 2017 KM 82 RB PJK 1/27 Cash 299 Kredit 279 Untuk mengetahui lebih lanjut ...","Rp 279.000.000"
"Honda Jazz","135 - 140K KM","Manual","Jawa Timur","Sales Agent","2013 Honda Jazz 1.5 RS Hatchback - CUCI GUDANG","Jazz RS manual 2013 ✓ Mobil cakep dan terawat ✓ Tidak bekas laka atau banjir ✓ Matic ...","Rp 139.000.000"
"Toyota Alphard","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2020 Toyota Alphard 2.5 G MPV","Toyota Alphard G ATPM 2020 Harga 775jt Nego Odo 37rb Km Pajak Bulan 12-26 Mobil Siap ...","Rp 775.000.000"
"Mercedes-Benz E200","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2014 Mercedes-Benz E200 2.0 CGI Coupe","MERCEDES BENZ E200 COUPE AMG 2014 WHITE ON BLACK KM 36.000 STNK BULAN 06 PLAT B - Engine: ...",""
"Lexus RX 270","85 - 90K KM","Automatic","DKI Jakarta","Dealer","2011 Lexus RX 270 2.7 SUV","Toyota Lexus RX 270 2011 Warna hitam. Automatic. Sunroof. Power backdoor. Kondisi sangat ...",""
"Ford Mustang","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2022 Ford Mustang 2.3 EcoBoost High Performance Fastback - Mobil Cakep Bangettt","Fast Sale !! Ford Mustang Ecoboost 2.3 High Performance Cyber orange metalic on black ...","Rp 1.285.000.000"
"Ford Mustang","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2022 Ford Mustang 2.3 EcoBoost Fastback - Mobil Cakep Bangettt","Fast Sale !! Ford Mustang Ecoboost 2.3 Magnetic Grey on black 2022 pemakaian 2023 Almost ...","Rp 1.285.000.000"
"Toyota Land Cruiser","80 - 85K KM","Automatic","DKI Jakarta","Dealer","2014 Toyota Land Cruiser 4.5 200 Full spec SUV","Bismillah Fast Sale !! Toyota Land Cruiser VX200 ATPM 2014 Black on Black Harga Cash ...","Rp 1.285.000.000"
"Toyota Voxy","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2019 Toyota Voxy 2.0 MPV","Plat B ganjil Toyota Voxy 2.0 Sunroof AT Hitam NIK 2019 pajak bulan 6 km 70rban * Double ...","Rp 255.000.000"
"Honda Civic","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2018 Honda Civic 1.5 E Hatchback","plat B genap Honda Civic 1.5 Turbo Hatchback AT white 2018 km 40rban ( Include free sound ...","Rp 290.000.000"
"Nissan Grand Livina","70 - 75K KM","Automatic","DKI Jakarta","Dealer","2011 Nissan Grand Livina 1.5 XV MPV - AT - LOW KM","Nissan Grand Livina XV 2011 A/T Harga untuk kredit Rp.78.000.000,- .Plat B .Warna Abu-abu ...","Rp 78.000.000"
"","75 - 80K KM","Automatic","Banten","Dealer","2021 Mitsubishi Xpander Cross 1.5 Premium MPV","Harga khusus OTR Kredit dan TDP Paket , Harga Tunai Beda Lagi ... . Harga Cash 230 Jt ...","Rp 190.000.000"
"Wuling Almaz","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2021 Wuling Almaz 1.5 RS Pro SUV","Wuling Almaz RS Pro Two Tone 7Seater Abu-abu metalik AT Fullspec Panoramic 2021 Engine ...","Rp 175.000.000"
"BMW 520i","60 - 65K KM","Automatic","Banten","Dealer","2020 BMW 520i 2.0 Luxury Sedan - TANGAN PERTAMA. PAJAK PANJANG. UNIT LIKE NEW SIAP PAKAI TANPA PR.","FS: BMW 520i G30 Luxury 2.0 AT 2020 Sunroof Nik : 2020 ( Pemakaian 2021) Warna Hitam Odo ...","Rp 449.000.000"
"KIA Seltos","90 - 95K KM","Automatic","Jawa Barat","Sales Agent","2021 KIA Seltos 1.4 EX+ SUV - EX","Cari mobil bekas berkualitas? Di CARSOME aja! ✅ Kondisi terjamin ✅ Proses mudah & aman ✅ ...","Rp 209.000.000"
"BMW 530i","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2018 BMW 530i 2.0 Luxury Sedan - RSE AT 2019 LOW KM 28RB","BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN! BMW 530i 530 i Luxury RSE AT White On Black ...","Rp 415.000.000"
"","70 - 75K KM","Automatic","Jawa Barat","Sales Agent","2023 Hyundai Stargazer 1.5 Prime MPV","🚗 Cari mobil bekas berkualitas? Di CARSOME aja! ✅ Kondisi terjamin ✅ Proses mudah & aman ...","Rp 209.000.000"
"Mitsubishi Xpander","100 - 105K KM","Automatic","DKI Jakarta","Sales Agent","2022 Mitsubishi Xpander 1.5 Ultimate MPV","🚗 Cari mobil bekas berkualitas? Di CARSOME aja! ✅ Kondisi terjamin ✅ Proses mudah & aman ...","Rp 234.000.000"
"Toyota Yaris","45 - 50K KM","Automatic","Jawa Barat","Sales Agent","2020 Toyota Yaris 1.5 TRD Sportivo 7 AB Hatchback","Masuk lagi toyota yaris s trd 2020😍 Cepetan bungkus boskuh ✅Automatic ✅perorangan ✅Km ...","Rp 204.000.000"
"Toyota Yaris","45 - 50K KM","Automatic","Jawa Barat","Sales Agent","2020 Toyota Yaris 1.5 TRD Sportivo 7 AB Hatchback","Masuk lagi toyota yaris s trd 2020😍 Cepetan bungkus boskuh ✅Automatic ✅perorangan ✅Km ...","Rp 204.000.000"
"Honda HR-V","50 - 55K KM","Automatic","Jawa Barat","Sales Agent","2021 Honda HR-V 1.5 E SUV - Se AT - Bergaransi","Honda HR-V E SE AT 2021 Kilometer : 53.994 Melayani cash/credit 𝘾𝘼𝙍𝙎𝙊𝙈𝙀 𝘾𝙚𝙧𝙩𝙞𝙛𝙞𝙚𝙙 🔥🔥🔥 - ...","Rp 238.000.000"
"Toyota Alphard","165 - 170K KM","Automatic","DKI Jakarta","Dealer","2009 Toyota Alphard 3.5 G MPV","Alphard 3.5 Q ( 3500cc V6) Hitam Th 2009 nik 2009 Km 166 rb (service rutin) Pajak 6 - ...","Rp 210.000.000"
"Toyota Camry","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2020 Toyota Camry 2.5 V Sedan","CAMRY 2.5 V AT Hitam TH 2020 (nik 2020) Pajak 07 - 2026 Low Km 52 rb (record Astrido ...","Rp 310.000.000"
"Mitsubishi Pajero Sport","200 - 205K KM","Automatic","DKI Jakarta","Dealer","2011 Mitsubishi Pajero Sport 2.5 Dakar 4x2 SUV","Pajero dakar At Th 2011 (nik 2011) Merah Km 203rb Plat B genap Pajak 8-2026 OTR KREDIT ...","Rp 200.000.000"
"Toyota Camry","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Camry 2.5 V (Premium Color) Sedan","TOYOTA CAMRY 2.5V AT TH 2022 (nik 2022) Faktur an / perorangan Low km 25 rb ( full record ...","Rp 388.000.000"
"Toyota Camry","85 - 90K KM","Automatic","DKI Jakarta","Dealer","2017 Toyota Camry 2.5 V Sedan","CAMRY 2.5V AT Th 2017 (nik 2017) Hitam Km 87 rb (full record toyota) Pjk 7 - 2026 Faktur ...","Rp 210.000.000"
"Mercedes-Benz E250","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2015 Mercedes-Benz E250 2.0 Avantgarde Sedan - Mercedes Be...","2015 Mercedes Benz E 250 E edition Facelift Hitam 33rb Miles Service Record DENNIS KUMIS ...","Rp 295.000.000"
"","30 - 35K KM","Automatic","Jawa Barat","Sales Agent","2023 Honda WR-V 1.5 RS Honda Sensing SUV - RS Sensing","Honda WR-V RS Sensing AT 2023 Kilometer : 31.744 Melayani cash/credit 𝘾𝘼𝙍𝙎𝙊𝙈𝙀 𝘾𝙚𝙧𝙩𝙞𝙛𝙞𝙚𝙙 ...","Rp 245.000.000"
"Honda HR-V","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 Honda HR-V 1.5 Special Edition SUV - Km 6rb HRV SE AT...","Km 6rb Honda HRV 1.5 SE AT 2024 Abu Service Record Garansi Honda Masih Aktif DENNIS KUMIS ...","Rp 335.000.000"
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Yaris Cross 1.5 S HV with GR Parts Aero Pkg SU...","KM 30rb Toyota Yaris Cross Hybrid Gr Sport TSS 2023 Hitam Service Record Tdp 15jt DENNIS ...","Rp 308.000.000"
"Toyota Fortuner","40 - 45K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Fortuner 2.8 GR Sport 4X2 SUV - Jual Cepat GR ...","Jual Cepat : Toyota Fortuner 2.8 GR Sport AT 2022 Diesel Hitam Km 40rb Record Tdp 42jt - ...","Rp 475.000.000"
"Toyota Avanza","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2025 Toyota Avanza 1.5 G MPV - AT Km 21rb Service Record G...","2025 Toyota Avanza G 1.5 AT Km 21rb Service Record Garansi Toyota Tdp 18jt DENNIS KUMIS ...","Rp 219.000.000"
"Mitsubishi Xpander","80 - 85K KM","Automatic","DKI Jakarta","Dealer","2019 Mitsubishi Xpander 1.5 Ultimate MPV - Jual Cepat AT A...","Jual Cepat : 2019 Mitsubishi Xpander Ultimate 1.5 AT Abu Service Record Pjk 7-2027 DENNIS ...","Rp 199.000.000"
"Daihatsu Sigra","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2023 Daihatsu Sigra 1.2 R MPV - AT Hitam Km 51rb Service R...","2023 Daihatsu Sigra 1.2 R AT Hitam Km 51rb Service Record Tdp 19jt - DENNIS KUMIS - Chat ...","Rp 137.000.000"
"","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2023 Toyota Veloz 1.5 Q TSS (Non Premium Color) MPV - KM 1...","KM 16rb Toyota Veloz Q TSS 1.5 AT 2023 Silver Service Record Garansi Tdp 38jt DENNIS ...","Rp 245.000.000"
"Honda Brio","110 - 115K KM","Automatic","DKI Jakarta","Dealer","2017 Honda Brio 1.2 RS Hatchback - Jual Cepat AT Putih Ser...","Jual Cepat : Honda Brio RS 1.2 AT 2017 Putih Service Record Tdp 28jt Auto Approve DENNIS ...","Rp 125.000.000"
"Nissan March","75 - 80K KM","Automatic","DKI Jakarta","Dealer","2012 Nissan March 1.2 XS Hatchback - Jual Cepat AT Abu abu...","Jual Cepat : Nissan March 1.2 XS AT 2012 Abu abu Km 78rb Service Record Garansi - DENNIS ...","Rp 85.000.000"
"Suzuki Ertiga","30 - 35K KM","Automatic","Banten","Sales Agent","2021 Suzuki Ertiga 1.5 GX MPV - KM 32RB - GARANSI MESIN,AC...","- Suzuki Ertiga GX Sport 1.5 - Warna Abu-Abu - Tahun 2021 - Transmisi Matic - Kilometer ...","Rp 201.000.000"
"Toyota Rush","100 - 105K KM","Automatic","Jawa Barat","Sales Agent","2017 Toyota Rush 1.5 TRD Sportivo SUV","Mobil Bekas Rasa Mobil Baru Harga SUDAH DIBAWAH PASARAN Unit Ready 2017 Toyota Rush Trd ...",""
"Mitsubishi Xpander","30 - 35K KM","Automatic","Banten","Sales Agent","2021 Mitsubishi Xpander 1.5 Ultimate MPV - FACELIFT - KM R...","- Mitsubishi Xpander Ultimate 1.5 - Warna Hitam - Tahun 2021 - Transmisi Matic - ...","Rp 229.000.000"
"Toyota Kijang Innova","125 - 130K KM","Automatic","DKI Jakarta","Dealer","2021 Toyota Kijang Innova 2.4 V MPV - 2022","DI JUAL CASH & KREDIT Toyota Kijang Innova 2.4 V Diesel AT ( new model ) Good Condition + ...",""
"Honda HR-V","30 - 35K KM","Automatic","Jawa Timur","Sales Agent","2023 Honda HR-V 1.5 Special Edition SUV","Honda HR-V se matic 2023 ✓ Mobil cakep dan terawat ✓ Tidak bekas laka atau banjir ✓ Matic ...","Rp 337.000.000"
"Honda HR-V","95 - 100K KM","Automatic","DKI Jakarta","Dealer","2018 Honda HR-V 1.8 Prestige SUV - AT Istimewa Tangan Pert...","Yang Anda dapatkan jika membeli di BJM Autocars : * Hanya menjual Mobil Bekas Berkualitas ...","Rp 218.000.000"
"Toyota Kijang Innova","100 - 105K KM","Automatic","Banten","Dealer","2012 Toyota Kijang Innova 2.0 G MPV - TANGAN PERTAMA. UNIT...","FS: Toyota Innova 2.0 G AT 2012 Bensin Nik : 2012 Warna Putih Odo 100rb KM Pajak Maret ...","Rp 126.000.000"
"Nissan Serena","85 - 90K KM","Automatic","DKI Jakarta","Dealer","2013 Nissan Serena 2.0 X MPV","Nissan Serena type X 2013 C26 Warna putih. Kondisi ciamik terawat. Body mulus. Kaki² ...",""
"BMW X1","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2021 BMW X1 1.5 sDrive18i xLine SUV","X1 2021 KM 37.xxx (23rb miles) Bulan 2 Panoramic roof Power back door 18” wheels Rear ...","Rp 410.000.000"
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2023 Hyundai Palisade 2.2 Signature SUV","- NIK th 2023 - Tangan pertama dari baru - Plat B ( Genap ) - Pajak 08/2025 - Interior ...",""
"","60 - 65K KM","Automatic","Banten","Dealer","2022 Hyundai Creta 1.5 Style SUV - TANGAN PERTAMA. PAJAK P...","FS: Hyundai Creta Style 1.5 AT 2022 Nik : 2022 Warna Putih Odo 60rb KM Pajak Maret 2027 ...","Rp 215.000.000"
"","0 - 5K KM","Automatic","Banten","Dealer","2022 Land Rover Range Rover Velar 2.0 P250 R-Dynamic SE SU...",". Velar P250 R-Dynamic Nik 2022 KM 3.xxx Bulan 8 2.0L 4 Silinder Turbocharged 8 Speed ...","Rp 1.484.999.900"
"","0 - 5K KM","Automatic","Banten","Dealer","2023 smart EQ Fortwo Coupe - 0.0 LIMITED EDITION LOW KM 2,...",". LIMITED EDITION STOCK MERCEDES BENZ SMART EQ FOR TWO NIK 2023 CARMIME RED & WHITE ...","Rp 649.990.003"
"Honda Civic","6000 KM","Automatic","DKI Jakarta","Dealer","2019 Honda Civic 1.5 E Hatchback","HONDA CIVIC HATCBACK .1500 CC TURBOO .Paddle shifter .Engine start button .Parking sensor ...","Rp 345.000.000"
"","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2024 BMW X7 3.0 xDrive40i M Sport SUV - 7 Seat. Cocok Utk ...",". Low KM 11,xxx Only BMW X7 [ xDrive40i M Sport ] Black with Cognac Brown Nik 2024 Tax ...","Rp 1.974.990.099"
"Mercedes-Benz CLA200","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2022 Mercedes-Benz CLA200 1.3 AMG Line Coupe","MERCEDES BENZ CLA 200 AMG LINE .1300 cc turboo .Android auto, apple carplay .Camera ...","Rp 695.000.000"
"Mercedes-Benz GLA200","17000 KM","Automatic","DKI Jakarta","Dealer","2022 Mercedes-Benz GLA200 1.3 AMG Line SUV","MERCEDES BENZ GLA 200 AMG LINE .1300CC TURBOO .Android auto, apple carplay .Camera ...","Rp 585.000.000"
"Mazda CX-3","60 - 65K KM","Automatic","Banten","Dealer","2022 Mazda CX-3 1.5 Sport SUV - TANGAN PERTAMA. PAJAK SUPE...","FS: Mazda CX-3 1.5 Sport AT 2022 Nik : 2022 Warna Hitam Odo 40rb MILES Pajak Februari ...","Rp 229.000.000"
"","55 - 60K KM","Automatic","DKI Jakarta","Dealer","2022 Hyundai Creta 1.5 Prime SUV - Jual Cepat IVT Twotone ...","Jual Cepat : Hyundai Creta Prime 1.5 IVT Twotone 2022 Merah Km 59rb Record DENNIS KUMIS ...","Rp 245.000.000"
"BMW M4","20 - 25K KM","Automatic","Banten","Dealer","2014 BMW M4 3.0 Coupe - . ISTIMEWAH. LOW ODO. LIKE NEW SIA...","FS: BMW M4 3.0 COUPE F82 AT 2014 NIK 2014 TANGAN PERTAMA ODO 20RB MILES PAJAK DEC 2025 ...","Rp 1.034.000.000"
"Honda CR-V","85 - 90K KM","Automatic","DKI Jakarta","Dealer","2015 Honda CR-V 2.4 SUV - Abu Abu KM 90rb Service Record D...","Jual Cepat : 2015 Honda CRV 2.4 AT Abu Abu KM 90rb Service Record Dp 35jt - DENNIS KUMIS ...","Rp 185.000.000"
"Honda HR-V","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2023 Honda HR-V 1.5 Special Edition SUV - Abu Metalik Km 2...","Jual Cepat : Honda HRV 1.5 SE AT 2023 Abu KM 20rb Service Record Honda Siap TT DENNIS ...","Rp 318.000.000"
"Honda BR-V","30000 KM","Automatic","DKI Jakarta","Dealer","2023 Honda BR-V 1.5 Prestige SUV - Brv Cvt Abu Metalik Km ...","Honda Brv Prestige 1.5 Cvt 2023 Abu Metalik Km 30rb Record Dp 45jt Auto Approve DENNIS ...","Rp 225.000.000"
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2023 Hyundai Stargazer X 1.5 Prime MPV","KM 30rb 2023 Hyundai StargazerX 1.5 Prime AT Abu Doff Record Dp 39Jt - DENNIS KUMIS - ...","Rp 238.000.000"
"Toyota Kijang Innova","70600 KM","Automatic","DKI Jakarta","Private","2016 Toyota Kijang Innova 2.0 V MPV - AT","Jarak tempuh rendah Kondisi sangat baik Bebas kecelakaan Toyota Kijang Innova Reborn V ...",""
"Honda Civic","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2019 Honda Civic 1.5 ES Sedan - Turbo AT Putih Km 60rb Rec...","Jual Cepat : 2019 Honda Civic Turbo ES Sedan 1.5 AT Putih Km 60rb Record Tdp 83jt DENNIS ...","Rp 298.000.000"
"Mercedes-Benz GLC200","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2022 Mercedes-Benz GLC200 2.0 Night Edition AMG Line SUV  ...","Mercedes Benz GLC200 AMG Night Edition Tahun 2022 Black on Black Leather Seat *ISP ...","Rp 718.000.000"
"Mercedes-Benz AMG G63","7300 KM","Automatic","DKI Jakarta","Dealer","2020 Mercedes-Benz AMG G63 4.0 SUV - 4,0 Base Spec","Mercedes Benz G63 4.4 AMG ATPM Nik 2020 Km 7 rb milles Pajak bln 11 Stnk an PT Record Pro ...","Rp 5.250.000.000"
"","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2018 Porsche Macan 2.0 SUV","Porche Macan 2.0 Turbo Nik 2018 Km 55 rb Pajak bln 8 Stnk an PT - ⁠Engine 2.0L Turbo with ...","Rp 695.000.000"
"Honda CR-V","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2021 Honda CR-V 1.5 Turbo Prestige SUV","Honda CR-V Prestige 1.5 Turbo Sensing 2021 Spesifikasi : Good Condition Pajak Bulan ...","Rp 402.800.000"
"Honda CR-V","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2021 Honda CR-V 1.5 Turbo SUV","Honda CR-V 1.5 Turbo 2021 Spesifikasi : Good Condition Pajak Bulan April 2027 Kilometer ...","Rp 338.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2018 Lexus NX 300 2.0 F Sport SUV","Lexus NX300 F-Sport (Facelift) Colour: Sonic Titanium on Black (Special Colour) Pajak: ...","Rp 500.000.000"
"Honda CR-V","85 - 90K KM","Automatic","DKI Jakarta","Dealer","2015 Honda CR-V 2.4 SUV - Abu Abu KM 90rb Service Record D...","Jual Cepat : 2015 Honda CRV 2.4 AT Abu Abu KM 90rb Service Record Dp 35jt - DENNIS KUMIS ...","Rp 185.000.000"
"Honda HR-V","20 - 25K KM","Automatic","DKI Jakarta","Dealer","2023 Honda HR-V 1.5 Special Edition SUV - Abu Metalik Km 2...","Jual Cepat : Honda HRV 1.5 SE AT 2023 Abu KM 20rb Service Record Honda Siap TT DENNIS ...","Rp 318.000.000"
"Honda BR-V","30000 KM","Automatic","DKI Jakarta","Dealer","2023 Honda BR-V 1.5 Prestige SUV - Brv Cvt Abu Metalik Km ...","Honda Brv Prestige 1.5 Cvt 2023 Abu Metalik Km 30rb Record Dp 45jt Auto Approve DENNIS ...","Rp 225.000.000"
"","30 - 35K KM","Automatic","DKI Jakarta","Dealer","2023 Hyundai Stargazer X 1.5 Prime MPV","KM 30rb 2023 Hyundai StargazerX 1.5 Prime AT Abu Doff Record Dp 39Jt - DENNIS KUMIS - ...","Rp 238.000.000"
"Toyota Kijang Innova","70600 KM","Automatic","DKI Jakarta","Private","2016 Toyota Kijang Innova 2.0 V MPV - AT","Jarak tempuh rendah Kondisi sangat baik Bebas kecelakaan Toyota Kijang Innova Reborn V ...",""
"Honda Civic","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2019 Honda Civic 1.5 ES Sedan - Turbo AT Putih Km 60rb Rec...","Jual Cepat : 2019 Honda Civic Turbo ES Sedan 1.5 AT Putih Km 60rb Record Tdp 83jt DENNIS ...","Rp 298.000.000"
"Mercedes-Benz GLC200","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2022 Mercedes-Benz GLC200 2.0 Night Edition AMG Line SUV  ...","Mercedes Benz GLC200 AMG Night Edition Tahun 2022 Black on Black Leather Seat *ISP ...","Rp 718.000.000"
"Mercedes-Benz AMG G63","7300 KM","Automatic","DKI Jakarta","Dealer","2020 Mercedes-Benz AMG G63 4.0 SUV - 4,0 Base Spec","Mercedes Benz G63 4.4 AMG ATPM Nik 2020 Km 7 rb milles Pajak bln 11 Stnk an PT Record Pro ...","Rp 5.250.000.000"
"","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2018 Porsche Macan 2.0 SUV","Porche Macan 2.0 Turbo Nik 2018 Km 55 rb Pajak bln 8 Stnk an PT - ⁠Engine 2.0L Turbo with ...","Rp 695.000.000"
"Honda CR-V","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2021 Honda CR-V 1.5 Turbo Prestige SUV","Honda CR-V Prestige 1.5 Turbo Sensing 2021 Spesifikasi : Good Condition Pajak Bulan ...","Rp 402.800.000"
"Honda CR-V","60 - 65K KM","Automatic","DKI Jakarta","Dealer","2021 Honda CR-V 1.5 Turbo SUV","Honda CR-V 1.5 Turbo 2021 Spesifikasi : Good Condition Pajak Bulan April 2027 Kilometer ...","Rp 338.000.000"
"","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2018 Lexus NX 300 2.0 F Sport SUV","Lexus NX300 F-Sport (Facelift) Colour: Sonic Titanium on Black (Special Colour) Pajak: ...","Rp 500.000.000"
"Mercedes-Benz GLC200","10 - 15K KM","Automatic","Jawa Barat","Dealer","2022 Mercedes-Benz GLC200 2.0 Night Edition AMG Line SUV  ...","Mercedes Benz GLC200 AMG Night Edition Tahun 2022 Black on Black Leather Seat *ISP ...","Rp 718.000.000"
"","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2023 BMW X7 3.0 xDrive40i M Sport SUV","BMW X7 Xdrive Nik 2023 Km 18 rb Pajak bln 9 Stnk an PT Electric seat with memory Leather ...","Rp 1.625.000.000"
"Hyundai Santa Fe","70 - 75K KM","Automatic","Banten","Broker","2019 Hyundai Santa Fe 2.2 Grand CRDi SUV - FREE GARANSI ME...","Ready Stock Hyundai Grand Santa Fe 2.2 CRDI 4x2 AT 2019 Spesifikasi Mobil : • Merk : ...","Rp 335.000.000"
"Mitsubishi Pajero Sport","125 - 130K KM","Automatic","Banten","Broker","2016 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV - FREE GARA...","Ready Stock Mitsubishi Pajero Dakar 4x2 AT 2016 Spesifikasi Mobil : • Merk : Mitsubishi • ...","Rp 300.000.000"
"BMW X6","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2012 BMW X6 3.0 xDrive35i SUV","BMW X6 XDrive35i 2012 Spesifikasi : Good Condition Nik 2012 / Perorangan Pajak Bulan ...","Rp 288.000.000"
"Mercedes-Benz GLC200","10 - 15K KM","Automatic","Banten","Dealer","2022 Mercedes-Benz GLC200 2.0 Night Edition AMG Line SUV  ...","Mercedes Benz GLC200 AMG Night Edition Tahun 2022 Black on Black Leather Seat *ISP ...","Rp 718.000.000"
"KIA Seltos","90 - 95K KM","Automatic","DKI Jakarta","Sales Agent","2021 KIA Seltos 1.4 EX+ SUV - EX Harga Special Ngabisin St...","Kia Seltos Ex Plus 1.5 Automatic, 2021 Harga : 209 jt Info / Pembelian hubungi : 📲 **** ...","Rp 209.000.000"
"Mercedes-Benz GLC200","5 - 10K KM","Automatic","DKI Jakarta","Dealer","2022 Mercedes-Benz GLC200 2.0 Night Edition AMG Line SUV  ...","Mercedes Benz GLC200 AMG Night Edition Tahun 2022 Black on Black Leather Seat *ISP ...",""
"KIA Picanto","55 - 60K KM","Automatic","DKI Jakarta","Sales Agent","2016 KIA Picanto 1.0 Hatchback","🚗 Cari mobil bekas berkualitas? Di CARSOME aja! ✅ Kondisi terjamin ✅ Proses mudah & aman ...","Rp 100.000.000"
"Toyota Avanza","25 - 30K KM","Automatic","DKI Jakarta","Dealer","2022 Toyota Avanza 1.5 G MPV","Harga Khusus Credit 4&5 Thn Warranty Mesin & Transmisi 1Thn Terima Tukar Tambah TOYOTA ...","Rp 175.000.000"
"","50 - 55K KM","Automatic","DKI Jakarta","Dealer","2022 Hyundai Creta 1.5 Prime SUV","plat B ganjil Hyundai Creta Prime AT Red on black Sunroof NIK 2022 KM50rban Record Pajak ...","Rp 245.000.000"
"","110 - 115K KM","Automatic","DKI Jakarta","Dealer","2020 Mitsubishi Xpander Cross 1.5 MPV","Xpander Cross Premium Package AT 2020 Putih (TIQ) Plat B Jaktim(Genap) Pajak 02/27 KM 110 ...","Rp 200.000.000"
"","0 - 5K KM","Automatic","DKI Jakarta","Broker","2025 Toyota Kijang Innova Zenix 2.0 V (Premium Color) MPV ...","Toyota Kijang Innova Zenix 2.0 V CVT 2025 Low Odo (7rb) Platinum White Pearl on Black ...","Rp 364.000.000"
"Toyota Avanza","100 - 105K KM","Automatic","DKI Jakarta","Dealer","2019 Toyota Avanza 1.3 G MPV - TDP 5 Juta","Avanza G 1.3 AT 2019 silver (BYX) Plat B Jakbar (Genap) KM 100rb Pajak 04/27 Cash 161 ...","Rp 151.000.000"
"Toyota Voxy","10 - 15K KM","Automatic","DKI Jakarta","Dealer","2025 Toyota Voxy 2.0 (Non Premium Color) MPV","TOYOTA NEW VOXY .Camera 360 .Head up dispay .Apple carplay,Android auto .Roof monitor ...","Rp 500.000.000"
"Mitsubishi Pajero Sport","35 - 40K KM","Automatic","DKI Jakarta","Dealer","2019 Mitsubishi Pajero Sport 2.4 Dakar 4X2 SUV - DAKAR 4X2...","Mitsubishi Pajero Sport 2.4 Dakar 4x2 2019 Silver Metalik on Black | KM 37.XXX | Plat B ...","Rp 345.000.000"
"Toyota Agya","15 - 20K KM","Automatic","DKI Jakarta","Dealer","2017 Toyota Agya 1.2 G Hatchback - DP Rendah","Agya 1.2 G AT 2017 Merah (TOR) Plat B JakTim (ganjil) KM 17 rb Pajak 09/26 Cash 121 Jt ...","Rp 111.000.000"
"Honda Accord","45 - 50K KM","Automatic","DKI Jakarta","Dealer","2014 Honda Accord 2.4 VTi-L Sedan","Honda Accord Vtil 2.4 At 2014. Hitam metalik. LOW KM 50 Ribu, servis record honda. ...","Rp 173.000.000"
